,,,,,ɸѡ,
titanic,D://crw_data//np.where\source85,50,"np.where(test.Embarked == 'Q', 1, 0)",(test.Embarked == 'Q').astype((test.Embarked == 'Q').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//df.iterrows\source7,215,"np.where(df_train['SibSp'] + df_train['Parch'] + 1 == 1, 1, 0)","pd.DataFrame(df_train['SibSp'] + df_train['Parch'] + 1).apply(lambda x : x == 1).replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//np.where\source156,136,"np.where(full.Sex == 'male', 1, 0)",(full.Sex == 'male').astype((full.Sex == 'male').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source157,59,"np.where(full_data.Sex == 'male', 1, 0)","pd.DataFrame(full_data.Sex).apply(lambda x : x == 'male').replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//np.where\source79,119,"np.where(full.Sex == 'male', 1, 0)","pd.DataFrame(full.Sex).apply(lambda x : x == 'male').replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//np.arange\source93,307,"np.where(final_test['Age'] <= 16, 1, 0)",(final_test['Age']).map(lambda x : 1 if x <= 16 else  0).values,np.where,pd.Series.map
titanic,D://crw_data//np.arange\source93,195,"np.where(train_data['SibSp'] + train_data['Parch'] > 0, 0, 1)","pd.DataFrame(train_data['SibSp'] + train_data['Parch']).apply(lambda x : x > 0).replace({True: 0,False: 1}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//df.iterrows\source7,215,"np.where(df_train['SibSp'] + df_train['Parch'] + 1 == 1, 1, 0)",(df_train['SibSp'] + df_train['Parch'] + 1).map(lambda x : 1 if x == 1 else  0).values,np.where,pd.Series.map
titanic,D://crw_data//np.arange\source93,303,"np.where(final_train['Age'] <= 16, 1, 0)",(final_train['Age']).map(lambda x : 1 if x <= 16 else  0).values,np.where,pd.Series.map
titanic,D://crw_data//np.where\source85,52,"np.where(test.Embarked == 'S', 1, 0)",(test.Embarked == 'S').astype((test.Embarked == 'S').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.array\source429,172,np.where(hypothesis >= 0.5),np.nonzero(hypothesis >= 0.5),np.where,np.nonzero
titanic,D://crw_data//np.count_nonzero\source6,205,np.where(titanic['Pclass'] == 2),np.nonzero(titanic['Pclass'] == 2),np.where,np.nonzero
titanic,D://crw_data//np.arange\source93,307,"np.where(final_test['Age'] <= 16, 1, 0)",(final_test['Age'] <= 16).astype((final_test['Age'] <= 16).dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.arange\source93,513,np.where(tpr > 0.95),np.nonzero(tpr > 0.95),np.where,np.nonzero
titanic,D://crw_data//np.where\source79,119,"np.where(full.Sex == 'male', 1, 0)",(full.Sex == 'male').astype((full.Sex == 'male').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.count_nonzero\source6,199,np.where(titanic['Pclass'] == 1),np.nonzero(titanic['Pclass'] == 1),np.where,np.nonzero
titanic,D://crw_data//np.where\source85,51,"np.where(test.Embarked == 'C', 1, 0)",(test.Embarked == 'C').astype((test.Embarked == 'C').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source157,59,"np.where(full_data.Sex == 'male', 1, 0)",(full_data.Sex == 'male').astype((full_data.Sex == 'male').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source156,136,"np.where(full.Sex == 'male', 1, 0)","pd.DataFrame(full.Sex).apply(lambda x : x == 'male').replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//np.where\source159,79,"np.where(y_pred[:] > 0.95, 1, 0)",(y_pred[:] > 0.95).astype((y_pred[:] > 0.95).dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source74,38,"np.where(full.Sex == 'male', 1, 0)","pd.DataFrame(full.Sex).apply(lambda x : x == 'male').replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//df.fillna\source32,272,np.where(p < 0.5),np.nonzero(p < 0.5),np.where,np.nonzero
titanic,D://crw_data//df.iterrows\source7,215,"np.where(df_train['SibSp'] + df_train['Parch'] + 1 == 1, 1, 0)",(df_train['SibSp'] + df_train['Parch'] + 1 == 1).astype((df_train['SibSp'] + df_train['Parch'] + 1 == 1).dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source159,79,"np.where(y_pred[:] > 0.95, 1, 0)","pd.DataFrame(y_pred[:]).apply(lambda x : x > 0.95).replace({True: 1,False: 0}).values.flatten()",np.where,pd.DataFrame.apply
titanic,D://crw_data//np.arange\source93,239,"np.where(test_data['SibSp'] + test_data['Parch'] > 0, 0, 1)",(test_data['SibSp'] + test_data['Parch']).map(lambda x : 0 if x > 0 else  1).values,np.where,pd.Series.map
titanic,D://crw_data//df.fillna\source32,269,np.where(p >= 0.5),np.nonzero(p >= 0.5),np.where,np.nonzero
titanic,D://crw_data//np.where\source89,22,np.where(bb['Embarked'] != train_df['Embarked']),np.nonzero(bb['Embarked'] != train_df['Embarked']),np.where,np.nonzero
titanic,D://crw_data//np.where\source21,175,"np.where((fullData.Age <= 12) & (fullData.Sex == 'male'), 1, 0)",((fullData.Age <= 12) & (fullData.Sex == 'male')).astype(((fullData.Age <= 12) & (fullData.Sex == 'male')).dtype),np.where,np.ndarray.astype
titanic,D://crw_data//np.where\source76,55,"np.where(data['Sex'] == 'male', 1, 0)",(data['Sex'] == 'male').astype((data['Sex'] == 'male').dtype),np.where,np.ndarray.astype
titanic,D://crw_data//df.fillna\source24,19,np.where(X.dtypes != np.float),np.nonzero(X.dtypes != np.float),np.where,np.nonzero
web-traffic-time-series-forecasting,D://crw_data//np.arange\source13,36,np.where(Visits < 1),np.nonzero(Visits < 1),np.where,np.nonzero
web-traffic-time-series-forecasting,D://crw_data//np.arange\source262,36,np.where(Visits < 1),np.nonzero(Visits < 1),np.where,np.nonzero
catch-me-if-you-can-intruder-detection-through-webpage-session-tracking2,D://crw_data//df.iloc\source79,56,"np.zeros((M.shape[0], self.columns_ - M.shape[1]), dtype=M.dtype)","np.empty((M.shape[0], self.columns_ - M.shape[1]), dtype=M.dtype); r2[:]= 0",np.zeros,np.empty
costa-rican-household-poverty-prediction,D://crw_data//df.iloc\source31,98,np.zeros([len_train]),np.empty([len_train]); r2[:]= 0,np.zeros,np.empty
house-prices-advanced-regression-techniques,D://crw_data//df.loc\source149,263,"np.zeros((X.shape[0], len(self.base_models)))","np.empty((X.shape[0], len(self.base_models))); r2[:]= 0",np.zeros,np.empty
jigsaw-toxic-comment-classification-challenge,D://crw_data//df.fillna\source3,51,"np.zeros((test.shape[0], len(col)))","np.empty((test.shape[0], len(col))); r2[:]= 0",np.zeros,np.empty
PLAsTiCC-2018,D://crw_data//df.iloc\source65,397,"np.zeros((len(df), np.unique(y).shape[0]))","np.empty((len(df), np.unique(y).shape[0])); r2[:]= 0",np.zeros,np.empty
porto-seguro-safe-driver-prediction,D://crw_data//df.iloc\source2,178,"np.zeros((n_estimators, n_splits))","np.empty((n_estimators, n_splits)); r2[:]= 0",np.zeros,np.empty
porto-seguro-safe-driver-prediction,D://crw_data//df.iloc\source2,177,"np.zeros((len(trn_df.columns), n_splits))","np.empty((len(trn_df.columns), n_splits)); r2[:]= 0",np.zeros,np.empty
sf-crime,D://crw_data//df.iloc\source70,199,np.zeros(merged_data.shape),np.empty(merged_data.shape); r2[:]= 0,np.zeros,np.empty
titanic,D://crw_data//df.astype\source3,153,"np.zeros((X.shape[1], 1))","np.empty((X.shape[1], 1)); r2[:]= 0",np.zeros,np.empty
titanic,D://crw_data//df.fillna\source32,232,np.zeros(input_x.shape[1]),np.empty(input_x.shape[1]); r2[:]= 0,np.zeros,np.empty
whats-cooking-kernels-only,D://crw_data//df.iloc\source30,101,np.zeros([len_train]),np.empty([len_train]); r2[:]= 0,np.zeros,np.empty
kobe-bryant-shot-selection,D://crw_data//df.apply\source90,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source108,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source58,26,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source71,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source71,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source107,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//pd.crosstab\source40,30,"data.apply(lambda row: 28 if row['shot_distance'] > 28 else row[	    'shot_distance'], axis=1)"," data['shot_distance'].apply(lambda row: 28 if row > 28 else row[	    'shot_distance'])",pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source78,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source78,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source107,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source58,23,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source90,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source109,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source109,26,"df.apply(lambda row: row['shot_distance'] if row['shot_distance'] < 45 else	    45, axis=1)", df['shot_distance'].apply(lambda row:row if row < 45 else     45),pd.DataFrame.apply,pd.Series.apply
kobe-bryant-shot-selection,D://crw_data//df.apply\source108,29,"df.apply(lambda row: 1 if row['time_remaining'] < 3 else 0, axis=1)", df['time_remaining'].apply(lambda row: 1 if row < 3 else 0),pd.DataFrame.apply,pd.Series.apply
caterpillar-tube-pricing,D://crw_data//df.apply\source60,69,train.fillna('NA'),train.combine_first(train.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
caterpillar-tube-pricing,D://crw_data//df.apply\source60,70,test.fillna('NA'),test.combine_first(test.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
caterpillar-tube-pricing,D://crw_data//df.apply\source80,69,train.fillna('NA'),train.combine_first(train.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
caterpillar-tube-pricing,D://crw_data//df.apply\source25,68,test.fillna('NA'),test.combine_first(test.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
caterpillar-tube-pricing,D://crw_data//df.apply\source25,67,train.fillna('NA'),train.combine_first(train.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
caterpillar-tube-pricing,D://crw_data//df.apply\source80,70,test.fillna('NA'),test.combine_first(test.applymap(lambda x: 'NA')),pd.DataFrame.fillna,pd.DataFrame.combine_first
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,52,df_train.fillna(df_train.mean()),df_train.combine_first(df_train.applymap(lambda x: df_train.mean())),pd.DataFrame.fillna,pd.DataFrame.combine_first
house-prices-advanced-regression-techniques,D://crw_data//df.fillna\source20,299,df.fillna(0),df.combine_first(df.applymap(lambda x: 0)),pd.DataFrame.fillna,pd.DataFrame.combine_first
predicting-red-hat-business-value,D://crw_data//np.full\source28,204,testsetdt['outcome'].fillna(testsetdt['outcome'].mean()),testsetdt['outcome'].combine_first(testsetdt['outcome'].applymap(lambda x: testsetdt['outcome'].mean())),pd.DataFrame.fillna,pd.DataFrame.combine_first
rossmann-store-sales,D://crw_data//pd.read_csv\source1130,9,data.fillna(0),data.combine_first(data.applymap(lambda x: 0)),pd.DataFrame.fillna,pd.DataFrame.combine_first
sberbank-russian-housing-market,D://crw_data//np.array\source446,168,X.fillna(self.fill),X.combine_first(X.applymap(lambda x: self.fill)),pd.DataFrame.fillna,pd.DataFrame.combine_first
zillow-prize-1,D://crw_data//df.fillna\source13,269,df.fillna(-1.0),df.combine_first(df.applymap(lambda x: -1.0)),pd.DataFrame.fillna,pd.DataFrame.combine_first
santander-value-prediction-challenge,D://crw_data//df.iloc\source20,42,"df.iloc[:, a:]","df.iat[:, a:]",pd.DataFrame.iloc,pd.DataFrame.iat
allstate-claims-severity,D://crw_data//pd.read_csv\source1047,30,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc
allstate-claims-severity,D://crw_data//pd.read_csv\source1047,31,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc
allstate-claims-severity,D://crw_data//pd.read_csv\source1047,25,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc
allstate-claims-severity,D://crw_data//pd.read_csv\source1047,26,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc
digit-recognizer,D://crw_data//np.append\source28,87,"train.ix[:, 'label':'label']","train.loc[:, 'label':'label']",pd.DataFrame.ix,pd.DataFrame.loc
digit-recognizer,D://crw_data//pd.read_csv\source680,15,"test.ix[:, :]","test.loc[:, :]",pd.DataFrame.ix,pd.DataFrame.loc
expedia-hotel-recommendations,D://crw_data//df.ix\source4,48,"df.ix[:, ('srch_co')]","df.loc[:, ('srch_co')]",pd.DataFrame.ix,pd.DataFrame.loc
expedia-hotel-recommendations,D://crw_data//df.ix\source4,31,"df.ix[:, ('srch_adults_cnt')]","df.loc[:, ('srch_adults_cnt')]",pd.DataFrame.ix,pd.DataFrame.loc
expedia-hotel-recommendations,D://crw_data//df.ix\source4,37,"df.ix[:, ('srch_destination_id')]","df.loc[:, ('srch_destination_id')]",pd.DataFrame.ix,pd.DataFrame.loc
expedia-hotel-recommendations,D://crw_data//df.ix\source4,44,"df.ix[:, ('srch_ci')]","df.loc[:, ('srch_ci')]",pd.DataFrame.ix,pd.DataFrame.loc
homesite-quote-conversion,D://crw_data//pd.read_csv\source3644,31,train.ix[train_sample],train.loc[train_sample],pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,33,"train_dataset.ix[train_dataset.Alley.notnull(), 'Alley']","train_dataset.loc[train_dataset.Alley.notnull(), 'Alley']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,73,"train_dataset.ix[train_dataset.GarageCars.isnull(), 'GarageCars']","train_dataset.loc[train_dataset.GarageCars.isnull(), 'GarageCars']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,251,"df_train.ix[:, (df_train.columns != 'SalePrice')]","df_train.loc[:, (df_train.columns != 'SalePrice')]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source40,329,"df_train.ix[:, (df_train.columns != 'SalePrice')]","df_train.loc[:, (df_train.columns != 'SalePrice')]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,65,"train_dataset.ix[train_dataset.Fireplaces == 0, 'FireplaceQu']","train_dataset.loc[train_dataset.Fireplaces == 0, 'FireplaceQu']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source40,359,"df_train.ix[:, (df_train.columns != 'SalePrice')]","df_train.loc[:, (df_train.columns != 'SalePrice')]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,127,"corrmat.ix[i, j]","corrmat.loc[i, j]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,125,"corrmat.ix[i, j]","corrmat.loc[i, j]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,75,"train_dataset.ix[train_dataset.GarageQual.isnull(), 'GarageQual']","train_dataset.loc[train_dataset.GarageQual.isnull(), 'GarageQual']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,124,"corrmat.ix[i, j]","corrmat.loc[i, j]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,57,"train_dataset.ix[train_dataset.MasVnrType == 'None', 'MasVnrArea']","train_dataset.loc[train_dataset.MasVnrType == 'None', 'MasVnrArea']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,35,"train_dataset.ix[train_dataset.Alley.isnull(), 'Alley']","train_dataset.loc[train_dataset.Alley.isnull(), 'Alley']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,55,"train_dataset.ix[train_dataset.MasVnrType.isnull(), 'MasVnrType']","train_dataset.loc[train_dataset.MasVnrType.isnull(), 'MasVnrType']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.arange\source185,77,"train_dataset.ix[train_dataset.GarageCars == 0, 'GarageType']","train_dataset.loc[train_dataset.GarageCars == 0, 'GarageType']",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,129,"corrmat.ix[i, j]","corrmat.loc[i, j]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//df.apply\source41,265,"df_train.ix[:, (df_train.columns != 'SalePrice')]","df_train.loc[:, (df_train.columns != 'SalePrice')]",pd.DataFrame.ix,pd.DataFrame.loc
house-prices-advanced-regression-techniques,D://crw_data//np.array\source1174,194,"scores.ix[:, (scores.columns != 'split')]","scores.loc[:, (scores.columns != 'split')]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source171,100,"predTest.ix[:, (col)]","predTest.loc[:, (col)]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source249,102,"predValid.ix[:, (col)]","predValid.loc[:, (col)]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source249,96,"predTest.ix[:, ('id')]","predTest.loc[:, ('id')]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source171,88,"predTest.ix[:, ('id')]","predTest.loc[:, ('id')]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source249,103,"predTest.ix[:, (col)]","predTest.loc[:, (col)]",pd.DataFrame.ix,pd.DataFrame.loc
jigsaw-toxic-comment-classification-challenge,D://crw_data//pd.concat\source171,99,"predValid.ix[:, (col)]","predValid.loc[:, (col)]",pd.DataFrame.ix,pd.DataFrame.loc
liberty-mutual-group-property-inspection-prediction,D://crw_data//df.join\source24,44,"encoded_column.ix[:, :]","encoded_column.loc[:, :]",pd.DataFrame.ix,pd.DataFrame.loc
liberty-mutual-group-property-inspection-prediction,D://crw_data//df.join\source24,26,"encoded_column.ix[:, :]","encoded_column.loc[:, :]",pd.DataFrame.ix,pd.DataFrame.loc
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,135,"test.ix[:, ('Id')]","test.loc[:, ('Id')]",pd.DataFrame.ix,pd.DataFrame.loc
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,139,"train.ix[:, ('Id')]","train.loc[:, ('Id')]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,14,train.ix[train_rows],train.loc[train_rows],pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,50,"test_sample.ix[:, (column)]","test_sample.loc[:, (column)]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,63,"train.ix[10001:10010, ('Response')]","train.loc[10001:10010, ('Response')]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,32,"X.ix[:, (column)]","X.loc[:, (column)]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,36,"X.ix[nans, column]","X.loc[nans, column]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,24,"train_sample.ix[:, ('Response')]","train_sample.loc[:, ('Response')]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,53,"test_sample.ix[nans, column]","test_sample.loc[nans, column]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,33,"X.ix[:, (column)]","X.loc[:, (column)]",pd.DataFrame.ix,pd.DataFrame.loc
prudential-life-insurance-assessment,D://crw_data//pd.read_csv\source2507,49,"test_sample.ix[:, (column)]","test_sample.loc[:, (column)]",pd.DataFrame.ix,pd.DataFrame.loc
santander-value-prediction-challenge,D://crw_data//df.loc\source10,294,train.ix[val_idx],train.loc[val_idx],pd.DataFrame.ix,pd.DataFrame.loc
santander-value-prediction-challenge,D://crw_data//df.loc\source10,293,train.ix[trn_idx],train.loc[trn_idx],pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source446,42,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source3340,133,"train.ix[bad_index, 'floor']","train.loc[bad_index, 'floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source1592,72,"train.ix[bad_index, 'max_floor']","train.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.concat\source294,69,"train.ix[kitch_is_build_year, 'kitch_sq']","train.loc[kitch_is_build_year, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source1592,68,"train.ix[bad_index, 'max_floor']","train.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1033,93,"train.ix[kitch_is_build_year, 'build_year']","train.loc[kitch_is_build_year, 'build_year']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source57,177,"test.ix[bad_index, 'max_floor']","test.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1033,85,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1035,20,"test.ix[equal_index, 'full_sq']","test.loc[equal_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source3517,41,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source57,161,"train.ix[bad_index, 'floor']","train.loc[bad_index, 'floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source3517,33,"test.ix[equal_index, 'full_sq']","test.loc[equal_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source1593,73,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1033,193,"train.ix[bad_index, 'state']","train.loc[bad_index, 'state']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source145,95,"train.ix[kitch_is_build_year, 'kitch_sq']","train.loc[kitch_is_build_year, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1033,81,"test.ix[bad_index, 'life_sq']","test.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source1127,65,"train.ix[bad_index, 'life_sq']","train.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source3833,93,"train.ix[bad_index, ['life_sq', 'full_sq']]","train.loc[bad_index, ['life_sq', 'full_sq']]",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source3340,65,"train.ix[kitch_is_build_year, 'kitch_sq']","train.loc[kitch_is_build_year, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//np.array\source145,151,"train.ix[bad_index, 'num_room']","train.loc[bad_index, 'num_room']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source1592,48,"test.ix[bad_index, ['life_sq', 'full_sq']]","test.loc[bad_index, ['life_sq', 'full_sq']]",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D://crw_data//pd.read_csv\source1593,61,"train.ix[kitch_is_build_year, 'build_year']","train.loc[kitch_is_build_year, 'build_year']",pd.DataFrame.ix,pd.DataFrame.loc
